Year,Age,Count,Population
1999,<1,866,3708753
1999,1-4,2959,14991152
1999,5-9,2226,20146188
1999,10-14,2447,19742631
1999,15-19,3875,19585857
1999,20-24,5969,18148795
1999,25-29,10031,19157556
1999,30-34,16865,20196134
1999,35-39,29508,22411728
1999,40-44,49256,21729686
1999,45-49,71420,19235534
1999,50-54,99571,16557188
1999,55-59,121501,12787366
1999,60-64,143968,10435791
1999,65-69,178278,9311622
1999,70-74,198737,8670689
1999,75-79,179713,7174978
1999,80-84,119816,4767800
1999,85+,94544,4050040
2000,<1,898,3767637
2000,1-4,3094,14974472
2000,5-9,2297,20008051
2000,10-14,2520,20164744
2000,15-19,4072,19799255
2000,20-24,6114,18665640
2000,25-29,10248,18869207
2000,30-34,16957,20113251
2000,35-39,30058,22183332
2000,40-44,50907,22047047
2000,45-49,74946,19789097
2000,50-54,106458,17394053
2000,55-59,127276,13258779
2000,60-64,148076,10602211
2000,65-69,177166,9293918
2000,70-74,198532,8653508
2000,75-79,180844,7270619
2000,80-84,123258,4868278
2000,85+,96842,4156527
2001,<1,980,3970113
2001,1-4,3288,15123657
2001,5-9,2307,19962452
2001,10-14,2756,20758808
2001,15-19,4309,20227701
2001,20-24,6611,19536435
2001,25-29,10281,18634669
2001,30-34,17684,20462391
2001,35-39,30217,22030086
2001,40-44,53135,22601240
2001,45-49,77889,20501373
2001,50-54,113599,18507423
2001,55-59,135122,13833003
2001,60-64,154834,11020881
2001,65-69,182605,9463333
2001,70-74,202871,8734260
2001,75-79,189087,7386502
2001,80-84,130087,5091062
2001,85+,102460,4270572
2002,<1,963,3910837
2002,1-4,3271,15313864
2002,5-9,2385,19665950
2002,10-14,2679,21040663
2002,15-19,4429,20386049
2002,20-24,6867,20019398
2002,25-29,10449,18510142
2002,30-34,17866,20467339
2002,35-39,29461,21551652
2002,40-44,53406,22675693
2002,45-49,80538,21049493
2002,50-54,114571,18560294
2002,55-59,144296,14996304
2002,60-64,160564,11442027
2002,65-69,182022,9538576
2002,70-74,198849,8663457
2002,75-79,187844,7400487
2002,80-84,134490,5246561
2002,85+,103296,4327726
2003,<1,1005,3975871
2003,1-4,3251,15616575
2003,5-9,2253,19620851
2003,10-14,2745,21415353
2003,15-19,4447,20797166
2003,20-24,6976,20591688
2003,25-29,10459,18771585
2003,30-34,17957,20472210
2003,35-39,29384,21264159
2003,40-44,54307,22890047
2003,45-49,83615,21722676
2003,50-54,115866,19097278
2003,55-59,147461,15814557
2003,60-64,164867,12194388
2003,65-69,182780,9830796
2003,70-74,193175,8670119
2003,75-79,187850,7497842
2003,80-84,137464,5398596
2003,85+,106639,4466176
2004,<1,1024,4014258
2004,1-4,3525,15771627
2004,5-9,2327,19454237
2004,10-14,2867,21411680
2004,15-19,4582,21102552
2004,20-24,7244,20845560
2004,25-29,10728,19107055
2004,30-34,18373,20159501
2004,35-39,29141,20874649
2004,40-44,54815,22925626
2004,45-49,86365,22065262
2004,50-54,119511,19564668
2004,55-59,152805,16607176
2004,60-64,170763,12698128
2004,65-69,186418,10073429
2004,70-74,190193,8594104
2004,75-79,185997,7461399
2004,80-84,141304,5528504
2004,85+,107960,4545883
2005,<1,993,3999783
2005,1-4,3425,15899370
2005,5-9,2309,19374703
2005,10-14,2762,21195702
2005,15-19,4776,21471178
2005,20-24,7449,20941230
2005,25-29,11475,19521407
2005,30-34,18048,19707198
2005,35-39,29409,20785291
2005,40-44,54868,22690105
2005,45-49,88149,22403209
2005,50-54,122816,20067242
2005,55-59,160583,17495609
2005,60-64,176005,13131162
2005,65-69,189896,10273382
2005,70-74,189978,8598015
2005,75-79,186106,7458837
2005,80-84,143653,5608292
2005,85+,112240,4690947
2006,<1,1062,4041738
2006,1-4,3396,15897145
2006,5-9,2374,19544688
2006,10-14,2840,21033138
2006,15-19,4700,21807709
2006,20-24,7495,21036135
2006,25-29,11734,20110011
2006,30-34,17593,19285168
2006,35-39,29827,20941233
2006,40-44,54867,22302568
2006,45-49,90286,22715286
2006,50-54,127272,20570873
2006,55-59,169798,18396860
2006,60-64,183268,13533253
2006,65-69,197748,10553201
2006,70-74,192769,8649826
2006,75-79,185883,7447034
2006,80-84,144394,5648117
2006,85+,115459,4865929
2007,<1,1093,4147997
2007,1-4,3611,15977965
2007,5-9,2449,19714611
2007,10-14,2765,20841042
2007,15-19,4881,22067816
2007,20-24,7670,21077999
2007,25-29,12339,20542698
2007,30-34,17596,19170765
