Year,Race,MSA,Count,Population
1999,Black or African American,"Austin-Round Rock, TX",28,14421
2000,Black or African American,"Austin-Round Rock, TX",16,15215
2001,Black or African American,"Austin-Round Rock, TX",22,16000
2002,Black or African American,"Austin-Round Rock, TX",24,16694
2003,Black or African American,"Austin-Round Rock, TX",34,17513
2004,Black or African American,"Austin-Round Rock, TX",26,18429
2005,Black or African American,"Austin-Round Rock, TX",27,19536
2006,Black or African American,"Austin-Round Rock, TX",25,21236
2007,Black or African American,"Austin-Round Rock, TX",30,22582
2008,Black or African American,"Austin-Round Rock, TX",30,23931
2009,Black or African American,"Austin-Round Rock, TX",32,25126
2010,Black or African American,"Austin-Round Rock, TX",39,26574
2011,Black or African American,"Austin-Round Rock, TX",19,28107
2012,Black or African American,"Austin-Round Rock, TX",17,30062
2013,Black or African American,"Austin-Round Rock, TX",41,31620
2014,Black or African American,"Austin-Round Rock, TX",42,33272
2015,Black or African American,"Austin-Round Rock, TX",34,34862
2016,Black or African American,"Austin-Round Rock, TX",45,36374
2017,Black or African American,"Austin-Round Rock, TX",45,37877
1999,Black or African American,"Dallas-Fort Worth-Arlington, TX",197,105096
2000,Black or African American,"Dallas-Fort Worth-Arlington, TX",169,110439
2001,Black or African American,"Dallas-Fort Worth-Arlington, TX",214,116953
2002,Black or African American,"Dallas-Fort Worth-Arlington, TX",230,123101
2003,Black or African American,"Dallas-Fort Worth-Arlington, TX",221,129843
2004,Black or African American,"Dallas-Fort Worth-Arlington, TX",232,137228
2005,Black or African American,"Dallas-Fort Worth-Arlington, TX",235,145520
2006,Black or African American,"Dallas-Fort Worth-Arlington, TX",261,158252
2007,Black or African American,"Dallas-Fort Worth-Arlington, TX",255,168015
2008,Black or African American,"Dallas-Fort Worth-Arlington, TX",299,177362
2009,Black or African American,"Dallas-Fort Worth-Arlington, TX",270,189027
2010,Black or African American,"Dallas-Fort Worth-Arlington, TX",297,200260
2011,Black or African American,"Dallas-Fort Worth-Arlington, TX",283,211200
2012,Black or African American,"Dallas-Fort Worth-Arlington, TX",272,223501
2013,Black or African American,"Dallas-Fort Worth-Arlington, TX",268,234881
2014,Black or African American,"Dallas-Fort Worth-Arlington, TX",316,246676
2015,Black or African American,"Dallas-Fort Worth-Arlington, TX",299,259028
2016,Black or African American,"Dallas-Fort Worth-Arlington, TX",322,270525
2017,Black or African American,"Dallas-Fort Worth-Arlington, TX",328,281659
1999,Black or African American,"Houston-The Woodlands-Sugar Land, TX",214,131751
2000,Black or African American,"Houston-The Woodlands-Sugar Land, TX",236,137816
2001,Black or African American,"Houston-The Woodlands-Sugar Land, TX",234,144697
2002,Black or African American,"Houston-The Woodlands-Sugar Land, TX",263,151843
2003,Black or African American,"Houston-The Woodlands-Sugar Land, TX",262,159739
2004,Black or African American,"Houston-The Woodlands-Sugar Land, TX",317,167831
2005,Black or African American,"Houston-The Woodlands-Sugar Land, TX",289,176305
2006,Black or African American,"Houston-The Woodlands-Sugar Land, TX",291,192392
2007,Black or African American,"Houston-The Woodlands-Sugar Land, TX",317,201043
2008,Black or African American,"Houston-The Woodlands-Sugar Land, TX",304,209778
2009,Black or African American,"Houston-The Woodlands-Sugar Land, TX",321,220430
2010,Black or African American,"Houston-The Woodlands-Sugar Land, TX",314,230549
2011,Black or African American,"Houston-The Woodlands-Sugar Land, TX",325,240060
2012,Black or African American,"Houston-The Woodlands-Sugar Land, TX",313,249758
2013,Black or African American,"Houston-The Woodlands-Sugar Land, TX",342,259136
2014,Black or African American,"Houston-The Woodlands-Sugar Land, TX",364,269180
2015,Black or African American,"Houston-The Woodlands-Sugar Land, TX",366,279280
2016,Black or African American,"Houston-The Woodlands-Sugar Land, TX",367,288389
2017,Black or African American,"Houston-The Woodlands-Sugar Land, TX",397,296591
1999,Black or African American,"San Antonio-New Braunfels, TX",32,19162
2000,Black or African American,"San Antonio-New Braunfels, TX",34,19810
2001,Black or African American,"San Antonio-New Braunfels, TX",35,20637
2002,Black or African American,"San Antonio-New Braunfels, TX",22,21495
2003,Black or African American,"San Antonio-New Braunfels, TX",29,22386
2004,Black or African American,"San Antonio-New Braunfels, TX",27,23398
2005,Black or African American,"San Antonio-New Braunfels, TX",22,24676
2006,Black or African American,"San Antonio-New Braunfels, TX",32,26664
2007,Black or African American,"San Antonio-New Braunfels, TX",42,27993
2008,Black or African American,"San Antonio-New Braunfels, TX",38,29352
2009,Black or African American,"San Antonio-New Braunfels, TX",41,30882
2010,Black or African American,"San Antonio-New Braunfels, TX",43,32475
2011,Black or African American,"San Antonio-New Braunfels, TX",37,34049
2012,Black or African American,"San Antonio-New Braunfels, TX",51,35592
2013,Black or African American,"San Antonio-New Braunfels, TX",44,36915
2014,Black or African American,"San Antonio-New Braunfels, TX",40,38348
2015,Black or African American,"San Antonio-New Braunfels, TX",38,39825
2016,Black or African American,"San Antonio-New Braunfels, TX",38,41275
2017,Black or African American,"San Antonio-New Braunfels, TX",39,42516
1999,Hispanic,"Austin-Round Rock, TX",38,30149
2000,Hispanic,"Austin-Round Rock, TX",43,32893
2001,Hispanic,"Austin-Round Rock, TX",35,34845
2002,Hispanic,"Austin-Round Rock, TX",55,37512
2003,Hispanic,"Austin-Round Rock, TX",52,39385
2004,Hispanic,"Austin-Round Rock, TX",58,42590
2005,Hispanic,"Austin-Round Rock, TX",54,46014
2006,Hispanic,"Austin-Round Rock, TX",58,49951
2007,Hispanic,"Austin-Round Rock, TX",52,54167
2008,Hispanic,"Austin-Round Rock, TX",44,58158
2009,Hispanic,"Austin-Round Rock, TX",55,62409
2010,Hispanic,"Austin-Round Rock, TX",56,66058
2011,Hispanic,"Austin-Round Rock, TX",61,72226
2012,Hispanic,"Austin-Round Rock, TX",72,77752
2013,Hispanic,"Austin-Round Rock, TX",62,83416
2014,Hispanic,"Austin-Round Rock, TX",67,87877
2015,Hispanic,"Austin-Round Rock, TX",91,93832
2016,Hispanic,"Austin-Round Rock, TX",94,99896
2017,Hispanic,"Austin-Round Rock, TX",91,105653
1999,Hispanic,"Dallas-Fort Worth-Arlington, TX",54,82996
2000,Hispanic,"Dallas-Fort Worth-Arlington, TX",95,90743
2001,Hispanic,"Dallas-Fort Worth-Arlington, TX",102,98671
2002,Hispanic,"Dallas-Fort Worth-Arlington, TX",91,106258
2003,Hispanic,"Dallas-Fort Worth-Arlington, TX",98,114597
2004,Hispanic,"Dallas-Fort Worth-Arlington, TX",108,123165
2005,Hispanic,"Dallas-Fort Worth-Arlington, TX",106,134938
2006,Hispanic,"Dallas-Fort Worth-Arlington, TX",106,143982
2007,Hispanic,"Dallas-Fort Worth-Arlington, TX",147,155645
2008,Hispanic,"Dallas-Fort Worth-Arlington, TX",136,167703
2009,Hispanic,"Dallas-Fort Worth-Arlington, TX",143,180292
2010,Hispanic,"Dallas-Fort Worth-Arlington, TX",162,194475
2011,Hispanic,"Dallas-Fort Worth-Arlington, TX",182,209469
2012,Hispanic,"Dallas-Fort Worth-Arlington, TX",161,225924
2013,Hispanic,"Dallas-Fort Worth-Arlington, TX",168,242235
2014,Hispanic,"Dallas-Fort Worth-Arlington, TX",205,259824
2015,Hispanic,"Dallas-Fort Worth-Arlington, TX",207,278940
2016,Hispanic,"Dallas-Fort Worth-Arlington, TX",216,298575
2017,Hispanic,"Dallas-Fort Worth-Arlington, TX",224,318001
1999,Hispanic,"Houston-The Woodlands-Sugar Land, TX",113,125696
2000,Hispanic,"Houston-The Woodlands-Sugar Land, TX",130,135635
2001,Hispanic,"Houston-The Woodlands-Sugar Land, TX",137,145441
2002,Hispanic,"Houston-The Woodlands-Sugar Land, TX",130,156106
2003,Hispanic,"Houston-The Woodlands-Sugar Land, TX",139,167377
2004,Hispanic,"Houston-The Woodlands-Sugar Land, TX",170,179167
2005,Hispanic,"Houston-The Woodlands-Sugar Land, TX",185,192397
2006,Hispanic,"Houston-The Woodlands-Sugar Land, TX",191,207686
2007,Hispanic,"Houston-The Woodlands-Sugar Land, TX",177,223424
2008,Hispanic,"Houston-The Woodlands-Sugar Land, TX",185,240114
2009,Hispanic,"Houston-The Woodlands-Sugar Land, TX",202,257534
2010,Hispanic,"Houston-The Woodlands-Sugar Land, TX",236,276102
2011,Hispanic,"Houston-The Woodlands-Sugar Land, TX",233,294364
2012,Hispanic,"Houston-The Woodlands-Sugar Land, TX",270,313847
2013,Hispanic,"Houston-The Woodlands-Sugar Land, TX",286,334666
2014,Hispanic,"Houston-The Woodlands-Sugar Land, TX",274,356395
2015,Hispanic,"Houston-The Woodlands-Sugar Land, TX",292,379181
2016,Hispanic,"Houston-The Woodlands-Sugar Land, TX",286,401594
2017,Hispanic,"Houston-The Woodlands-Sugar Land, TX",352,422977
1999,Hispanic,"San Antonio-New Braunfels, TX",156,138630
2000,Hispanic,"San Antonio-New Braunfels, TX",192,146291
2001,Hispanic,"San Antonio-New Braunfels, TX",164,152310
2002,Hispanic,"San Antonio-New Braunfels, TX",190,158951
2003,Hispanic,"San Antonio-New Braunfels, TX",190,166014
2004,Hispanic,"San Antonio-New Braunfels, TX",211,172468
2005,Hispanic,"San Antonio-New Braunfels, TX",197,180023
2006,Hispanic,"San Antonio-New Braunfels, TX",229,190423
2007,Hispanic,"San Antonio-New Braunfels, TX",231,199745
2008,Hispanic,"San Antonio-New Braunfels, TX",227,209553
2009,Hispanic,"San Antonio-New Braunfels, TX",228,219129
2010,Hispanic,"San Antonio-New Braunfels, TX",216,229638
2011,Hispanic,"San Antonio-New Braunfels, TX",226,238992
2012,Hispanic,"San Antonio-New Braunfels, TX",267,248212
2013,Hispanic,"San Antonio-New Braunfels, TX",293,255332
2014,Hispanic,"San Antonio-New Braunfels, TX",269,264863
2015,Hispanic,"San Antonio-New Braunfels, TX",301,274397
2016,Hispanic,"San Antonio-New Braunfels, TX",300,283422
2017,Hispanic,"San Antonio-New Braunfels, TX",322,291903
1999,White,"Austin-Round Rock, TX",200,154603
2000,White,"Austin-Round Rock, TX",205,163073
2001,White,"Austin-Round Rock, TX",243,171626
2002,White,"Austin-Round Rock, TX",214,179212
2003,White,"Austin-Round Rock, TX",208,188218
2004,White,"Austin-Round Rock, TX",194,198050
2005,White,"Austin-Round Rock, TX",212,209374
2006,White,"Austin-Round Rock, TX",197,222847
2007,White,"Austin-Round Rock, TX",216,235856
2008,White,"Austin-Round Rock, TX",203,248502
2009,White,"Austin-Round Rock, TX",206,259925
2010,White,"Austin-Round Rock, TX",216,272155
2011,White,"Austin-Round Rock, TX",228,285120
2012,White,"Austin-Round Rock, TX",231,298202
2013,White,"Austin-Round Rock, TX",216,310184
2014,White,"Austin-Round Rock, TX",228,322742
2015,White,"Austin-Round Rock, TX",289,333703
2016,White,"Austin-Round Rock, TX",268,343238
2017,White,"Austin-Round Rock, TX",282,351423
1999,White,"Dallas-Fort Worth-Arlington, TX",964,724112
2000,White,"Dallas-Fort Worth-Arlington, TX",989,746831
2001,White,"Dallas-Fort Worth-Arlington, TX",1041,766387
2002,White,"Dallas-Fort Worth-Arlington, TX",1032,785557
2003,White,"Dallas-Fort Worth-Arlington, TX",1062,806721
2004,White,"Dallas-Fort Worth-Arlington, TX",994,829714
2005,White,"Dallas-Fort Worth-Arlington, TX",1027,856357
2006,White,"Dallas-Fort Worth-Arlington, TX",1001,887932
2007,White,"Dallas-Fort Worth-Arlington, TX",1018,918033
2008,White,"Dallas-Fort Worth-Arlington, TX",1022,950043
2009,White,"Dallas-Fort Worth-Arlington, TX",1000,980818
2010,White,"Dallas-Fort Worth-Arlington, TX",1000,1012578
2011,White,"Dallas-Fort Worth-Arlington, TX",967,1046661
2012,White,"Dallas-Fort Worth-Arlington, TX",955,1081389
2013,White,"Dallas-Fort Worth-Arlington, TX",958,1108287
2014,White,"Dallas-Fort Worth-Arlington, TX",1107,1136456
2015,White,"Dallas-Fort Worth-Arlington, TX",1073,1159285
2016,White,"Dallas-Fort Worth-Arlington, TX",1003,1177026
2017,White,"Dallas-Fort Worth-Arlington, TX",1150,1190548
1999,White,"Houston-The Woodlands-Sugar Land, TX",788,574834
2000,White,"Houston-The Woodlands-Sugar Land, TX",864,590153
2001,White,"Houston-The Woodlands-Sugar Land, TX",813,606259
2002,White,"Houston-The Woodlands-Sugar Land, TX",846,624584
2003,White,"Houston-The Woodlands-Sugar Land, TX",823,643401
2004,White,"Houston-The Woodlands-Sugar Land, TX",823,662671
2005,White,"Houston-The Woodlands-Sugar Land, TX",774,683242
2006,White,"Houston-The Woodlands-Sugar Land, TX",761,706965
2007,White,"Houston-The Woodlands-Sugar Land, TX",826,728752
2008,White,"Houston-The Woodlands-Sugar Land, TX",771,751639
2009,White,"Houston-The Woodlands-Sugar Land, TX",793,774098
2010,White,"Houston-The Woodlands-Sugar Land, TX",803,794960
2011,White,"Houston-The Woodlands-Sugar Land, TX",818,815323
2012,White,"Houston-The Woodlands-Sugar Land, TX",823,835632
2013,White,"Houston-The Woodlands-Sugar Land, TX",856,853407
2014,White,"Houston-The Woodlands-Sugar Land, TX",803,870129
2015,White,"Houston-The Woodlands-Sugar Land, TX",882,882788
2016,White,"Houston-The Woodlands-Sugar Land, TX",823,889873
2017,White,"Houston-The Woodlands-Sugar Land, TX",836,893630
1999,White,"San Antonio-New Braunfels, TX",279,200702
2000,White,"San Antonio-New Braunfels, TX",285,204368
2001,White,"San Antonio-New Braunfels, TX",261,208529
2002,White,"San Antonio-New Braunfels, TX",250,213062
2003,White,"San Antonio-New Braunfels, TX",296,218248
2004,White,"San Antonio-New Braunfels, TX",277,224396
2005,White,"San Antonio-New Braunfels, TX",269,231171
2006,White,"San Antonio-New Braunfels, TX",279,239865
2007,White,"San Antonio-New Braunfels, TX",263,247736
2008,White,"San Antonio-New Braunfels, TX",286,255397
2009,White,"San Antonio-New Braunfels, TX",244,262597
2010,White,"San Antonio-New Braunfels, TX",241,269490
2011,White,"San Antonio-New Braunfels, TX",257,275677
2012,White,"San Antonio-New Braunfels, TX",256,281220
2013,White,"San Antonio-New Braunfels, TX",261,286691
2014,White,"San Antonio-New Braunfels, TX",258,292212
2015,White,"San Antonio-New Braunfels, TX",279,296736
2016,White,"San Antonio-New Braunfels, TX",275,300613
2017,White,"San Antonio-New Braunfels, TX",281,304021
