group,tumors
retinoid,1
retinoid,0
retinoid,2
retinoid,1
retinoid,4
retinoid,3
retinoid,6
retinoid,1
retinoid,1
retinoid,5
retinoid,2
retinoid,1
retinoid,5
retinoid,2
retinoid,3
retinoid,4
retinoid,5
retinoid,5
retinoid,1
retinoid,2
retinoid,6
retinoid,0
retinoid,1
control,7
control,11
control,9
control,2
control,9
control,4
control,6
control,7
control,6
control,1
control,13
control,2
control,1
control,10
control,4
control,5
control,11
control,11
control,9
control,12
control,1
control,3
control,1
control,3
control,3
